Ticker,Earning Date,T0,open,sameday_jump,overnight_jump,T1,T0_5,T1_5
A,2016-08-17,46.20116424560547,48.630001068115234,-0.049945234817242445,0.014693067449579147,44.569862365722656,-0.03572192317327256,-0.0004283737665103637
A,2016-11-15,43.4182014465332,45.33000183105469,-0.04217516671732735,0.06637303468399301,44.16414260864258,-0.020705122668859238,-0.0372456081327658
A,2017-02-14,48.32989501953125,50.2400016784668,-0.03801963764173666,0.05814422665270756,49.50962448120117,0.01885307519097996,-0.005424446654740928
A,2017-05-22,53.92076110839844,56.52000045776367,-0.045987956976532574,0.10903477636086979,56.40142440795898,0.07649803282687433,0.029151193804384825
A,2017-08-15,57.22087097167969,59.70000076293945,-0.041526461634465495,0.08614217977630562,59.880496978759766,0.06028956591512541,0.013196207529275871
A,2017-11-20,67.55506134033203,69.27999877929688,-0.024898058160478964,0.03693197314789854,67.50677490234375,0.009005399128608853,0.009727123380809399
A,2018-02-14,67.45301055908203,67.80000305175781,-0.005117883142437218,0.11099566676518269,69.69820404052734,0.014060193858277852,-0.018605803327530684
A,2018-05-14,67.12831115722656,69.7300033569336,-0.03731094327343576,-0.07877914569089184,60.62013626098633,-0.05288242208286233,0.04880007526175643
A,2018-08-14,64.8986587524414,66.05000305175781,-0.017431404180469068,0.016045688909182114,62.9347038269043,-0.02726577421674546,0.0030895950437492487
A,2018-11-19,61.002349853515625,64.66999816894531,-0.05671328930377029,0.08602373775904548,65.7862548828125,0.10781007291419138,0.027251327188957192
A,2019-02-20,76.7320785522461,77.52999877929688,-0.010291761119746723,0.01222330522508391,76.07767486572266,0.010947034465176829,0.019642981960964746
A,2019-05-14,74.39320373535156,74.43000030517578,-0.0004943782033232091,-0.09454093615890116,66.20125579833984,-0.10117091138366582,0.010052977187966852
A,2019-08-14,64.33613586425781,66.58000183105469,-0.033701800917498304,0.11818966860539716,68.25968170166016,0.10077773743202921,0.037505366364093705
A,2019-11-25,78.89509582519531,79.44999694824219,-0.006984281238026524,-0.004120612656221321,79.57335662841797,-0.001993532888409156,-0.01050025796179596
A,2020-02-18,83.5240707397461,85.66000366210938,-0.02493500853430486,0.014078890050272812,84.07569885253906,-0.0806698815373175,-0.08670168793562959
A,2020-05-21,79.74681854248047,81.72000122070312,-0.024145651599950857,0.06587324176100147,83.92426300048828,0.09151697069860776,0.03718522732613578
A,2020-08-18,96.8471908569336,97.70999908447266,-0.00883029613778974,-0.016698341848541295,96.94615936279295,0.004904854318453154,0.003878986634612906
