Ticker,Earning Date,date,RSI,MFI,adjclose_SMA_12,adjclose_SMA_30,adjclose_EWMA_12,adjclose_EWMA_30,adjclose_UpperBand,adjclose_LowerBand,SMA_12_SMA_30,EWMA_12_EWMA_30,UpperBand_LowerBand,nextday,lastday
A,2016-08-17,2016-08-18,46.21608324125406,42.64988325632226,0.9805857063195947,0.991167596402787,0.9350629293982684,0.9474928138861067,0.9594079128352445,1.025101978241692,1.0107913974423601,1.0132930994236262,1.068473549704534,2016-08-19,2016-08-17
A,2016-11-15,2016-11-16,56.04253280753299,51.74260565749917,1.0218509332101968,1.020770542930414,0.9715018768899398,0.9730312083704404,0.9646063304479756,1.0838794329027879,0.9989427124400729,1.0015741930271884,1.1236495124383232,2016-11-17,2016-11-15
A,2017-02-14,2017-02-15,72.40105307200164,68.17445069158322,1.0346246253978597,1.0588647433327365,0.9906244035386674,1.0141070987196452,1.0099257456038708,1.1127882541238314,1.023428901013791,1.0237049431622054,1.1018515558868691,2017-02-16,2017-02-14
A,2017-05-22,2017-05-23,73.41295904199328,72.73642464490794,1.0384291660289036,1.0618283069016852,0.9987710901922208,1.0169193634119695,1.003550944527774,1.1272914216955923,1.0225332084635712,1.0181706032522988,1.1233026363460252,2017-05-24,2017-05-22
A,2017-08-15,2017-08-16,62.82754467162754,63.672050262869774,1.03513452861903,1.0297454264703576,0.995794719289617,0.9969926984988662,1.0012014468038535,1.059964731321173,0.994793814717144,1.0012030383231032,1.0586927682784621,2017-08-17,2017-08-15
A,2017-11-20,2017-11-21,70.79565223478178,50.7247136499846,1.0253739824033195,1.0329694636552709,0.9861197251324868,0.9985884524010636,1.0063067995123416,1.0610834663680584,1.0074075228963277,1.0126442326938563,1.0544333665262537,2017-11-22,2017-11-20
A,2018-02-14,2018-02-15,56.838969883283944,54.931291818930816,1.0378018557314994,1.0134857572795184,0.9995985397521118,0.9942923298571096,0.9482906743147844,1.088306975589987,0.9765696136331904,0.994691659017111,1.147651247732005,2018-02-16,2018-02-14
A,2018-05-14,2018-05-15,33.191385352572055,39.81562023316784,0.9326734626056308,0.9346586605044754,0.9041237354777596,0.9020680157622084,0.8920504535489124,0.9815413412273815,1.0021285026093683,0.997726284981928,1.1003204329109868,2018-05-16,2018-05-14
A,2018-08-14,2018-08-15,47.30414529978821,40.54285131318703,0.9783365098948669,0.9994956788000907,0.95462078420346,0.965325615116621,0.9514684921934774,1.052629142126802,1.0216277003783674,1.0112136998170358,1.106320546358937,2018-08-16,2018-08-14
A,2018-11-19,2018-11-20,55.94706554418579,59.63199108067389,1.0290588284359095,1.0383376043561694,1.009222430820005,1.0023105954641427,0.9822876343313446,1.1011711446477805,1.0090167594542316,0.9931513260657053,1.1210271881284155,2018-11-21,2018-11-19
A,2019-02-20,2019-02-21,66.21252958580416,54.0358498786328,1.012182811767346,1.0500700629188524,0.9891677612321869,1.0210396493353873,0.9718188602252851,1.1420264409763172,1.0374312334798024,1.0322209127231343,1.1751433191074054,2019-02-22,2019-02-20
